👑 SOVEREIGN LISTING REPORT (SMART SKIP MODE)
Date: ٥‏/٢‏/٢٠٢٦، ١٢:٣٠:٢٢ ص
Total Newly Listed: 177
Total Skipped (Already on Market): 217
========================================

💰 PRICE TIER: $١٠٠٬٠٠٠ USD
----------------------------------------
   ⏭️  [SKIP] KING (#2)
   ⏭️  [SKIP] OWNER (#3)
   ⏭️  [SKIP] ETH (#20)
   ⏭️  [SKIP] IN (#40)
   ⏭️  [SKIP] COM (#70)
   ⏭️  [SKIP] IO (#80)
   ⏭️  [SKIP] GOLD (#105)
   ⏭️  [SKIP] 777 (#139)
   ⏭️  [SKIP] WALLET (#154)
   ⏭️  [SKIP] LAND (#164)
   ⏭️  [SKIP] A (#165)
   ⏭️  [SKIP] SPACEX (#199)
   ⏭️  [SKIP] WEB3NAME (#370)
   ⏭️  [SKIP] REGISTRY (#740)
   ⏭️  [SKIP] QUEEN (#5)
   ⏭️  [SKIP] US (#36)
   ⏭️  [SKIP] 888 (#140)
   ⏭️  [SKIP] B (#166)
   ⏭️  [SKIP] G (#171)
   ⏭️  [SKIP] GOOGLE (#191)
   ⏭️  [SKIP] UN (#227)
   ⏭️  [SKIP] ABC (#7)
   ⏭️  [SKIP] NFT (#27)
   ⏭️  [SKIP] 999 (#141)
   ⏭️  [SKIP] C (#167)
   ⏭️  [SKIP] M (#177)
   ⏭️  [SKIP] R (#182)
   ⏭️  [SKIP] AMAZON (#192)
   ⏭️  [SKIP] BLOCKCHAIN (#372)
   ⏭️  [SKIP] BANK (#103)
   ⏭️  [SKIP] D (#168)
   ⏭️  [SKIP] I (#173)
   ⏭️  [SKIP] N (#178)
   ⏭️  [SKIP] S (#183)
   ⏭️  [SKIP] X (#188)
   ⏭️  [SKIP] APPLE (#193)
   ⏭️  [SKIP] BINANCE (#207)
   ⏭️  [SKIP] BTC (#19)
   ⏭️  [SKIP] UK (#84)
   ⏭️  [SKIP] E (#169)
   ⏭️  [SKIP] O (#179)
   ⏭️  [SKIP] T (#184)
   ⏭️  [SKIP] Y (#189)
   ⏭️  [SKIP] TESLA (#194)
   ⏭️  [SKIP] COINBASE (#208)
   ⏭️  [SKIP] WEB3ID (#369)
   ⏭️  [SKIP] METAVERSE (#374)

💰 PRICE TIER: $٥٠٬٠٠٠ USD
----------------------------------------
   ✅ [NEW] UAE (#85)
   ✅ [NEW] LORD (#296)
   ✅ [NEW] OWNERSHIP (#739)
   ✅ [NEW] DOMAINS (#742)
   ✅ [NEW] OMEGA (#326)
   ✅ [NEW] ALPHA (#322)
   ✅ [NEW] PRIME (#327)
   ✅ [NEW] ULTRA (#328)
   ✅ [NEW] DIGITALID (#368)
   ✅ [NEW] SMARTCONTRACT (#373)
   ✅ [NEW] NFTMARKET (#359)
   ⏭️  [SKIP] COIN (#25)
   ⏭️  [SKIP] DUBAI (#90)
   ⏭️  [SKIP] PARIS (#95)
   ⏭️  [SKIP] CHINA (#100)
   ⏭️  [SKIP] LONDON (#96)
   ⏭️  [SKIP] VISA (#101)
   ⏭️  [SKIP] ROOT (#111)
   ⏭️  [SKIP] KUWAIT (#92)
   ⏭️  [SKIP] NODE (#116)
   ⏭️  [SKIP] META (#161)
   ⏭️  [SKIP] MICROSOFT (#196)
   ⏭️  [SKIP] USA (#83)
   ⏭️  [SKIP] QATAR (#88)
   ⏭️  [SKIP] CAIRO (#93)
   ⏭️  [SKIP] BERLIN (#98)
   ⏭️  [SKIP] BLOCK (#157)
   ⏭️  [SKIP] SAUDI (#89)
   ⏭️  [SKIP] RIYADH (#94)
   ⏭️  [SKIP] TOKYO (#99)
   ⏭️  [SKIP] CHAIN (#158)
   ⏭️  [SKIP] WORLD (#163)

💰 PRICE TIER: $٣٠٬٠٠٠ USD
----------------------------------------
   ✅ [NEW] Z (#190)
   ✅ [NEW] GG (#255)
   ✅ [NEW] XP (#251)
   ✅ [NEW] GM (#256)
   ✅ [NEW] GN (#257)
   ✅ [NEW] HP (#253)
   ✅ [NEW] PC (#338)
   ✅ [NEW] MP (#254)
   ⏭️  [SKIP] WE (#35)
   ⏭️  [SKIP] TO (#45)
   ⏭️  [SKIP] NO (#50)
   ⏭️  [SKIP] 0 (#124)
   ⏭️  [SKIP] 11 (#129)
   ⏭️  [SKIP] F (#170)
   ⏭️  [SKIP] K (#175)
   ⏭️  [SKIP] P (#180)
   ⏭️  [SKIP] U (#185)
   ⏭️  [SKIP] ON (#41)
   ⏭️  [SKIP] BY (#46)
   ⏭️  [SKIP] TV (#81)
   ⏭️  [SKIP] 7 (#125)
   ⏭️  [SKIP] 77 (#130)
   ⏭️  [SKIP] L (#176)
   ⏭️  [SKIP] Q (#181)
   ⏭️  [SKIP] V (#186)
   ⏭️  [SKIP] UP (#37)
   ⏭️  [SKIP] OK (#42)
   ⏭️  [SKIP] MY (#47)
   ⏭️  [SKIP] CC (#82)
   ⏭️  [SKIP] 8 (#126)
   ⏭️  [SKIP] 88 (#131)
   ⏭️  [SKIP] H (#172)
   ⏭️  [SKIP] W (#187)
   ⏭️  [SKIP] IT (#38)
   ⏭️  [SKIP] GO (#43)
   ⏭️  [SKIP] HE (#48)
   ⏭️  [SKIP] OG (#68)
   ⏭️  [SKIP] 9 (#127)
   ⏭️  [SKIP] 99 (#132)
   ⏭️  [SKIP] ME (#34)
   ⏭️  [SKIP] IS (#39)
   ⏭️  [SKIP] DO (#44)
   ⏭️  [SKIP] HI (#49)
   ⏭️  [SKIP] 1 (#123)
   ⏭️  [SKIP] 10 (#128)
   ⏭️  [SKIP] J (#174)

💰 PRICE TIER: $١٠٬٠٠٠ USD
----------------------------------------
   ✅ [NEW] API (#6)
   ✅ [NEW] FUD (#289)
   ✅ [NEW] MOD (#350)
   ✅ [NEW] SOL (#21)
   ✅ [NEW] YEN (#232)
   ✅ [NEW] OIL (#236)
   ✅ [NEW] DEV (#351)
   ✅ [NEW] LVL (#252)
   ✅ [NEW] PVE (#258)
   ✅ [NEW] LFG (#292)
   ✅ [NEW] RED (#309)
   ✅ [NEW] PVP (#259)
   ⏭️  [SKIP] BOT (#10)
   ⏭️  [SKIP] BUG (#15)
   ⏭️  [SKIP] KYC (#30)
   ⏭️  [SKIP] FUN (#55)
   ⏭️  [SKIP] GOD (#60)
   ⏭️  [SKIP] PRO (#65)
   ⏭️  [SKIP] MIL (#75)
   ⏭️  [SKIP] 101 (#134)
   ⏭️  [SKIP] BOX (#11)
   ⏭️  [SKIP] BUY (#16)
   ⏭️  [SKIP] DAO (#26)
   ⏭️  [SKIP] P2P (#31)
   ⏭️  [SKIP] SEX (#51)
   ⏭️  [SKIP] JOY (#56)
